cc_id,cc_name,cc_symbol,volume24h
26081,First Digital USD,FDUSD,6191257611.262299
1839,BNB,BNB,4142754493.269874
38274,Creditlink,CDL,1445754545.190906
38669,Recall,RECALL,970509272.5769981
7184,48 Club Token,KOGE,927223081.773762
38668,Enso,ENSO,847461048.838459
5279,Sologenic,SOLO,665990614.2882986
38538,PoP Planet,P,654095918.2376578
11222,Nine Chronicles,WNCG,628407585.0712562
36762,StandX DUSD,DUSD,571450447.6961161
38542,SLIMEX,SLX,418825801.28843504
38659,Anome,ANOME,370218495.9652167
38353,Meteora,MET,183954927.00120538
38651,YieldBasis,YB,148938620.3882316
27075,Mantle,MNT,148844582.59351385
38711,Piggycell,PIGGY,126036070.01592344
36922,Humanity Protocol,H,102634597.01110165
38376,EVAA Protocol,EVAA,80303918.23413296
38427,ZEROBASE,ZBT,77401237.63102153
35710,MyShell,SHELL,75922902.7297568
34297,SynFutures,F,75233871.97236659
37473,GAIA,GAIA,71495289.24503534
38757,APRO,AT,63725962.99866116
38175,OVERTAKE,TAKE,59015430.93361968
37456,OpenLedger,OPEN,57484962.1370855
1698,Horizen,ZEN,50022146.68260711
38671,Turtle,TURTLE,44514272.07770411
38590,币安人生,币安人生,44163797.30081288
28853,Jupiter Perps LP,JLP,43454911.56786095
38775,COMMON,COMMON,43330584.18006327
36410,MYX Finance,MYX,39865489.07794852
36238,XPIN Network,XPIN,39236715.41278899
32796,EUR CoinVertible,EURCV,35885940.29482997
4805,VNDC,VNDC,33346877.10110196
38569,aPriori,APR,32985819.98137186
32864,AUSD,AUSD,32931310.44852616
26997,LayerZero,ZRO,32718724.89895528
23635,Four,FORM,31779096.72432343
38513,OpenEden,EDEN,31571221.24555595
32521,Neiro,NEIRO,30657734.07042199
38717,Bluwhale,BLUAI,30046324.62569723
36770,Infinity Ground,AIN,28929957.43013436
4066,Chiliz,CHZ,28692662.48543083
36080,MultiBank Group,MBG,28432194.83977939
38557,4,4,27924818.80540909
38357,ARAI,AA,24277869.33444635
11584,Braintrust,BTRST,23822783.54488964
36044,NEXPACE,NXPC,23544489.84833819
7229,Gelato,GEL,23204039.29142535
5821,Aleph Cloud,ALEPH,23176733.16589011
38512,Klink Finance,KLINK,22704718.33785032
36119,Walrus,WAL,22499774.96075713
33223,LAB,LAB,21282032.84171914
38554,KGeN,KGEN,21140291.0208928
36775,MEET48,IDOL,20204494.13124199
38187,Uchain,UCN,20070722.94033264
37566,DarkStar,DARKSTAR,19712788.64744764
38616,Coral Finance,CORL,19663627.65642037
33793,Global Dollar,USDG,19642838.86262173
33983,SuperTrust,SUT,19096844.69746291
36288,Definitive,EDGE,18789098.17144377
3871,AB,AB,17969563.67654915
36743,Ribbita by Virtuals,TIBBIR,17871287.75463956
35319,Animecoin,ANIME,15486011.89577147
36532,BUILDon,B,15100737.7900282
38594,Palu,PALU,14835186.67103767
37004,Tesla tokenized stock (xStock),TSLAX,14632488.21361451
38634,Yei Finance,CLO,14600065.9809669
38707,Astra Nova,RVV,13846541.1032248
28324,dYdX,DYDX,13535074.4572519
38771,Semantic Layer,42,13104350.35100928
38750,Orochi Network,ON,12547965.37659799
33038,Sky,SKY,12167132.6965543
35491,MemeCore,M,11579883.50734502
11156,dYdX (ethDYDX),ETHDYDX,11268308.64202024
16086,BitTorrent [New],BTT,10906319.23984135
35877,Yala,YALA,10602221.80503363
38167,MetaMask USD,MUSD,10435230.14598221
21707,RedStone,RED,10155554.04989113
33502,Vultisig,VULT,9535791.82880891
38236,Quack AI,Q,9344346.93216371
32644,Eurite,EURI,9284851.0685052
37414,Yooldo,ESPORTS,8994299.59691639
3783,Ankr,ANKR,8807057.41323119
38756,Limitless,LMTS,8583962.05942981
37180,USD CoinVertible,USDCV,8401485.68874357
37005,Circle tokenized stock (xStock),CRCLX,7906639.96606964
38783,SnapX,XNAP,7537009.36180353
36319,OKZOO,AIOT,7437249.55518134
8615,Epic Chain,EPIC,6969329.71386194
36994,Apple tokenized stock (xStock),AAPLX,6789205.39502083
32724,Simon's Cat,CAT,6738782.00226673
34261,WeFi,WFI,6722100.41754715
